espn_id,name,team,position,points,bye,pass_yds,pass_tds,rec,rec_yds,rec_tds,rush_yds,rush_tds
2552576,Sean Mannion,MIN,QB,4,12,82.07529208,0.156032389,NA,NA,NA,-3,0
2543640,Tom Savage,DET,QB,4,5,63.04628571,0.479285714,NA,NA,NA,3,0
1037347,Joe Webb,HOU,QB,2,10,31.88005487,0.225651578,NA,NA,NA,0,0
2562403,Trace McSorley,BAL,QB,1,8,0,0,NA,NA,NA,13,0
2555332,Connor Cook,FA,QB,1,NA,19.9982821,0.768716094,NA,NA,NA,0,0
2560788,Tanner Lee,JAC,QB,1,10,22.534663,0,NA,NA,NA,-2,0
2549982,Garrett Gilbert,CLE,QB,0,7,7.196698762,0,NA,NA,NA,2,0
2561177,Kyle Allen,CAR,QB,0,7,3.823246217,0,NA,NA,NA,0,0
2543751,David Fales,DET,QB,0,5,3.058596974,0.01349381,NA,NA,NA,0,0
2562762,Clayton Thorson,PHI,QB,0,10,3.868225585,0.044979367,NA,NA,NA,0,0
2539335,Geno Smith,SEA,QB,0,11,6.342090784,0,NA,NA,NA,-1,0
2562435,Tyree Jackson,BUF,QB,0,6,0,0,NA,NA,NA,1,0
2556232,Jake Rudock,MIA,QB,0,5,1.574277854,0.089958735,NA,NA,NA,0,0
2533436,Brock Osweiler,FA,QB,0,NA,0,0,NA,NA,NA,0,0
2534870,Alex Tanney,NYG,QB,0,11,0,0,NA,NA,NA,0,0
2540173,Tyler Bray,CHI,QB,0,6,0,0,NA,NA,NA,0,0
2555263,Kevin Hogan,DEN,QB,0,10,0,0,NA,NA,NA,0,0
2555365,Brandon Allen,LAR,QB,0,9,0,0,NA,NA,NA,0,0
2555426,Cardale Jones,LAC,QB,0,12,0,0,NA,NA,NA,0,0
2556492,Joe Callahan,BAL,QB,0,8,0,0,NA,NA,NA,0,0
2556713,Josh Woodrum,FA,QB,0,NA,0,0,NA,NA,NA,0,0
2557869,Chad Kelly,IND,QB,0,6,0,0,NA,NA,NA,0,0
2557897,Davis Webb,NYJ,QB,0,4,0,0,NA,NA,NA,0,0
2558904,Phillip Walker,IND,QB,0,6,0,0,NA,NA,NA,0,0
2559252,Kyle Sloter,MIN,QB,0,12,0,0,NA,NA,NA,0,0
2560717,Danny Etling,FA,QB,0,NA,0,0,NA,NA,NA,0,0
2560720,Luke Falk,NYJ,QB,0,4,0,0,NA,NA,NA,0,0
2560792,Chase Litton,KC,QB,0,12,0,0,NA,NA,NA,0,0
2560860,Mason Rudolph,PIT,QB,0,7,0,0,NA,NA,NA,0,0
2560929,Mike White,DAL,QB,0,8,0,0,NA,NA,NA,0,0
2560942,Logan Woodside,TEN,QB,0,11,0,0,NA,NA,NA,0,0
2560969,J.T. Barrett,SEA,QB,0,11,0,0,NA,NA,NA,0,0
2560974,Kurt Benkert,ATL,QB,0,9,0,0,NA,NA,NA,0,0
2561148,Alex McGough,JAC,QB,0,10,0,0,NA,NA,NA,0,0
2561187,Tim Boyle,GB,QB,0,11,0,0,NA,NA,NA,0,0
2562745,Easton Stick,LAC,QB,0,12,0,0,NA,NA,NA,0,0
2563043,David Blough,CLE,QB,0,7,0,0,NA,NA,NA,0,0
2560786,Kyle Lauletta,NYG,QB,0,11,0,0.314855571,NA,NA,NA,0,0
